Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"As a admin, admin can send the Gift Voucher mail",UGV-31,10064,,Test,blocked,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,08/Sep/21 5:10 AM,08/Sep/21 5:54 AM,09/Sep/21 4:57 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0008q:,,UGV Sprint 1,,,,,,,,,,In Progress
"As a admin, admin should get the details according to the Filters",UGV-30,10063,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 12:10 PM,08/Sep/21 5:45 AM,08/Sep/21 5:09 AM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i00091:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin will select the status of order",UGV-29,10062,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:57 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008y:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should write the end date of marketing report",UGV-28,10061,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:46 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008x:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should write start date of marketing report ",UGV-27,10060,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:04 AM,08/Sep/21 5:45 AM,07/Sep/21 12:17 PM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-26,,,,,,,,,{},,,,,,,0|i0008w:i,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should get all the marketing report ",UGV-26,10059,,Story,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 11:00 AM,08/Sep/21 5:45 AM,08/Sep/21 6:01 AM,08/Sep/21 5:45 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008w:,,UGV Sprint 1,,,,,,,,,,Done
Admin is unable  send the mail ,UGV-25,10058,,Bug,To Do,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 4:29 AM,07/Sep/21 4:55 AM,08/Sep/21 5:49 AM,,,0,"Admin can't send the mail

steps to reproduce 
1. Go to uniform Application 
2. Go to the Marketing 
3. Go to mail section 
4. Fill the information 
5. Click on send Button 

Expected result 
After entering  the information the mail should be send , and there should be a pop up message that mail has been successfully send

Actual Result 
After entering all the information and clicking on send button the pop up message that is (mail has been successfully send) is not coming 
",,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0008u:i,,UGV Sprint 1,,,,,,,,,,To Do
"As a dmin, admin will write the message ",UGV-24,10057,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 4:07 AM,08/Sep/21 5:44 AM,07/Sep/21 6:50 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008s:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin can write subject related to services ",UGV-23,10056,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 3:50 AM,08/Sep/21 5:44 AM,07/Sep/21 4:57 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008t:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin send the mail to the departments ",UGV-22,10055,,Test,blocked,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,07/Sep/21 3:26 AM,08/Sep/21 7:15 AM,08/Sep/21 7:15 AM,,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008r:,,UGV Sprint 1,,,,,,,,,,In Progress
"As a admin, admin can  write the  mail ",UGV-21,10054,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,06/Sep/21 5:21 PM,08/Sep/21 5:44 AM,07/Sep/21 3:23 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-20,,,,,,,,,{},,,,,,,0|i0008k:,,UGV Sprint 1,,,,,,,,,,Done
"As a Admin, Admin is able to send the mail",UGV-20,10053,,Story,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,06/Sep/21 5:14 PM,08/Sep/21 5:44 AM,08/Sep/21 6:01 AM,08/Sep/21 5:44 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,UGV-25,,,,,,,,,,{},,,,,,,0|i0008i:,,UGV Sprint 1,,,,,,,,,,Done
admin can send Gift Voucher to the user  one or two at a time but not more than that ,UGV-19,10052,,Bug,To Do,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,06/Sep/21 6:32 AM,08/Sep/21 5:06 AM,08/Sep/21 5:48 AM,,,0,"step to reproduce 

1. Go to uniform application
2. Go to Gift voucher 
3. Select the Gift Voucher more than two

Expected Result
After selecting more than 2 Gift Voucher , it should send the Gift Gift voucher to the user 

Actual Result 
It is sending the Gift Voucher 1 or 2 but not more than that
",,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,,,,06/Sep/21 6:32 AM;ug:08f89cdb-8d78-4fd2-a837-30ca59835085;Screenshot 2021-09-06 120215.png;https://corparateola1999.atlassian.net/secure/attachment/10000/Screenshot+2021-09-06+120215.png,,,,,,{},,,,,,,0|i0007a:zr,,UGV Sprint 1,,,,,,,,,,To Do
"As a admin, admin can insert the image in voucher theme ",UGV-18,10051,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,03/Sep/21 4:14 AM,07/Sep/21 6:55 AM,07/Sep/21 4:56 AM,07/Sep/21 6:55 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-3,,,,,,,,,{},,,,,,,0|i0008h:r,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin can edit Voucher Theme",UGV-17,10050,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,03/Sep/21 4:00 AM,07/Sep/21 6:54 AM,07/Sep/21 4:55 AM,07/Sep/21 6:54 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-3,,,,,,,,,{},,,,,,,0|i0008h:i,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin can edit Gift voucher ",UGV-16,10049,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,03/Sep/21 3:54 AM,07/Sep/21 6:00 AM,06/Sep/21 11:49 AM,07/Sep/21 6:00 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:zi,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to delete theme voucher ",UGV-15,10048,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 12:20 PM,07/Sep/21 6:54 AM,08/Sep/21 5:16 AM,07/Sep/21 6:54 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-3,,,,,,,,,{},,,,,,,0|i0008h:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should add a theme ",UGV-14,10047,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 12:11 PM,07/Sep/21 6:54 AM,07/Sep/21 6:11 AM,07/Sep/21 6:54 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-3,,,,,,,,,{},,,,,,,0|i0008h:9,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able select the voucher  theme ",UGV-13,10046,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 11:54 AM,07/Sep/21 6:54 AM,07/Sep/21 4:40 AM,07/Sep/21 6:54 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-3,,,,,,,,,{},,,,,,,0|i0007p:,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should select the status",UGV-12,10045,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 11:15 AM,07/Sep/21 5:59 AM,06/Sep/21 11:49 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:z,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to enter amount ",UGV-11,10044,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 11:05 AM,07/Sep/21 5:59 AM,06/Sep/21 11:49 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:y,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to write message",UGV-10,10043,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:54 AM,07/Sep/21 5:59 AM,06/Sep/21 11:34 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:x,,UGV Sprint 1,,,,,,,,,,Done
"As a admin, admin should able to select the theme ",UGV-9,10042,,Test,Done,UGV,Uniform Gift voucher ,software,Rohan bbx,612ef783be9e4d0069575b94,,Medium,Done,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,Rohan bbx,612ef783be9e4d0069575b94,02/Sep/21 10:41 AM,07/Sep/21 5:59 AM,06/Sep/21 11:34 AM,07/Sep/21 5:59 AM,,0,,,Rohan bbx,612ef783be9e4d0069575b94,,,,,,,,,,UGV-2,,,,,,,,,{},,,,,,,0|i0007a:v,,UGV Sprint 1,,,,,,,,,,Done
